ID,name,gender,restrictedZone,type,Lng,Lat
45368,Cheltenham Secondary College,CoEd,TRUE,Secondary,145.0688736,-37.9535618
44250,Lower Plenty Primary School,CoEd,FALSE,Primary,145.114977,-37.727108
45375,Mount Alexander 7-12 College,CoEd,FALSE,Secondary,144.933124,-37.782499
45372,Cranbourne Secondary College,CoEd,FALSE,Secondary,145.2870953,-38.1080737
45373,Melba Secondary College Croydon Campus,CoEd,FALSE,Secondary,145.2828389,-37.7885359
45362,Brighton Secondary College,CoEd,FALSE,Secondary,145.0193112,-37.9201675
45360,Braybrook College,CoEd,FALSE,Secondary,144.848467,-37.778109
45361,Brentwood Secondary College,CoEd,FALSE,Secondary,145.167042,-37.89936662
45366,Canterbury Girls Secondary College,Girls,TRUE,Secondary,145.0690156,-37.819704
45364,Buckley Park College,CoEd,FALSE,Secondary,144.897224,-37.7476395
45365,Camberwell High School,CoEd,FALSE,Secondary,145.0728527,-37.8303938
45352,Bayswater Secondary College,CoEd,FALSE,Secondary,145.261917,-37.838327
44236,Carlton North Primary School,CoEd,FALSE,Primary,144.972138,-37.791114
45359,Box Hill High School,CoEd,FALSE,Secondary,145.1372073,-37.8204895
45357,Blackburn High School,CoEd,FALSE,Secondary,145.150557,-37.8103366
45356,Berwick Secondary College,CoEd,FALSE,Secondary,145.3652635,-38.0318773
44232,Skye Primary School,CoEd,FALSE,Primary,145.2018263,-38.1182562
45346,Wyndham Central Secondary College,CoEd,FALSE,Secondary,144.6540605,-37.8882816
45351,Balwyn High School,CoEd,TRUE,Secondary,145.0765043,-37.79765
44225,Williamstown Primary School,CoEd,FALSE,Primary,144.9013404,-37.8638304
44224,Albert Park Primary School,CoEd,TRUE,Primary,144.9554084,-37.8406158
45336,Staughton College,CoEd,FALSE,Secondary,144.5687825,-37.7077744
45338,Bentleigh Secondary College,CoEd,FALSE,Secondary,145.0596491,-37.9269718
44287,Frankston Primary School,CoEd,FALSE,Primary,145.145359,-38.146606
45340,Rosehill Secondary College,CoEd,FALSE,Secondary,144.884822,-37.7470406
44280,Cairnlea Park Primary School,CoEd,FALSE,Primary,144.7873987,-37.7584728
45341,Northern College of the Arts and Technology,CoEd,FALSE,Secondary,145.0262368,-37.7403557
45328,Lyndhurst Secondary College,CoEd,FALSE,Secondary,145.269412,-38.074921
45330,Dromana Secondary College,CoEd,FALSE,Secondary,144.9942305,-38.3352183
44273,Williamstown North Primary School,CoEd,FALSE,Primary,144.8913646,-37.8559241
45334,Peter Lalor Secondary College,CoEd,FALSE,Secondary,145.0109951,-37.6667422
45335,Lilydale Heights College,CoEd,FALSE,Secondary,145.3409,-37.745
44269,Northcote Primary School,CoEd,FALSE,Primary,144.996436,-37.771781
44271,Dandenong Primary School,CoEd,FALSE,Primary,145.22014,-37.987966
44270,North Melbourne Primary School,CoEd,FALSE,Primary,144.950875,-37.7985512
