id1,id2
110917647,50267
112020383,45515
109747976,45587
108440416,45622
111421535,45360
111877575,45627
112309815,45340
109527901,45383
109496136,45338
111604179,45545
110660749,45395
112207319,45469
110504357,45543
111231543,45515
112356759,45404
106926885,45530
110459553,45486
110851199,45338
110716737,45490
110325121,45379
111118303,45515
107624390,45382
112085707,45428
111144991,45495
110990383,45395
107313373,45395
111583175,50267
109881306,45627
120936269,45560
112252331,50267
111508907,45490
111542431,50196
111056739,50267
111476751,45530
111851967,45475
111324751,45539
110689689,45436
107505655,50267
108142036,45518
111399607,45518
111729451,50267
111003267,45296
111483023,45625
107377598,45357
111681663,45587
112438035,45533
111392983,45364
111688671,45509
107512659,45296
111624439,50267
120979846,45383
105537197,50184
112043791,45560
106825949,45498
111901563,50267
110518577,45379
110684773,45625
107498029,45518
120961510,45546
110031565,40427
111102103,50199
107493170,45529
110765503,50199
110865519,45399
110368265,50267
112464335,45622
107110739,45572
111026079,45250
107165754,45404
111708455,45296
111320055,50196
111237259,45572
112414755,45560
112646083,45357
107365248,45351
111529607,50199
112687255,45479
107449267,45509
109424006,40620
118472027,45545
109876821,45560
111189979,45250
111643903,45587
111778959,45539
107616161,50267
112534727,45443
111178399,45536
109154436,45383
111807983,50267
107337827,45539
110644257,45509
110625341,45625
111915859,45340
112712719,50267
107208476,45509
112432935,45450
111271135,45501
109934836,45539
110450525,50196
111514295,50267
107388863,45516
110672621,45395
111795243,45421
112469187,45518
111833939,45377
112122355,45509
112680491,45395
110788975,45528
120966378,45383
112585287,45529
113154423,45395
120217313,45495
111160495,50199
111897447,50567
111976531,45252
111064131,45587
110883259,50196
112373807,40689
115706079,45508
111819531,45518
112696695,45361
112429183,45225
109824316,50199
118768951,45383
111665311,45518
111949603,45405
111757039,45296
111697531,45544
120941686,45406
111381011,45401
110877987,45587
112285547,50567
110373101,45508
108924186,50267
107273095,45509
107620800,50199
111934691,45490
111538015,45509
111335375,45492
111735515,45362
107579284,45539
120971106,45627
112482639,45296
111660139,45533
118363495,45395
121021146,45492
120988838,40433
111858018,45572
111227335,45595
111615063,45479
112116615,40433
110870915,45509
119274147,50267
112388295,45357
120918289,45431
111498767,45338
111966227,45518
111008467,40427
112079199,45509
111693807,50267
115512047,45509
111352655,45486
111848647,45431
113257191,45495
111768983,45536
111599519,45587
112876415,45518
113048563,45531
115647595,50267
112200219,45572
110629689,50267
112527099,40620
111804875,45545
112177023,45543
119462235,45509
112051251,45383
112406911,45533
108565726,45587
112322483,45359
112700463,45539
111958607,45528
110793011,45365
112029371,45490
109220401,45475
110936203,45249
111175375,50267
111676515,45296
120957714,45466
111721779,50270
114382391,45515
110726993,50267
111278139,45346
112017395,45509
111985055,45443
112692819,45466
111330079,45404
111874619,45486
113228803,40620
113438823,50270
121064026,45442
112675267,45560
110823343,45383
112026483,45515
120874885,45406
111131315,45404
111923839,45509
115737307,45296
110669781,45535
110534609,45359
